abada,jamais,a tɛ ko nyuman kɛ abada,il ne fait jamais quelque chose de bien.
adamaden,être humain,adamaden kɔni tɛ foyi ye.,L'homme n'est rien ( il n'est que corps et âme ).
ala,Dieu,ala ye kelen ye.,Dieu est unique.
alamani,amende
alamisa,jeudi
an,pr. 1er pl.,an facɛ lo.,Cest notre père
an,pr. 1er pl.,kana an bugɔ,Ne nous frappe pas.
ani,et,a ka jɛgɛ ani foronto san.,il a acheté du poisson et du piment.
ani,et,a k'a fɔ Musa ani Bakari ye.,Il l'a dit à Moussa et à Bakari.
araba,mercredi
awa,alors
